縣市別,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺北市,878079,1259075051,1434,733,392,1427,16363.52,1141.19
高雄市,692422,612105593,884,613,361,1054,3285.35,371.64
臺中市,705109,621289347,881,580,333,1018,2743.31,311.34
基隆市,103798,81655490,787,584,361,985,1043.85,132.69
臺南市,451650,384811165,852,583,353,996,2461.69,288.93
嘉義市,64706,55176152,853,610,345,1067,955.22,112.02
新竹市,124128,155603530,1254,743,408,1459,6392.89,509.97
新北市,1125876,1009300184,896,601,361,1055,3462.91,386.29
宜蘭縣,107281,81067102,756,561,334,927,1049.10,138.83
桃園縣,562378,506906470,901,637,385,1088,1523.65,169.04
新竹縣,148660,158326820,1065,693,399,1284,1660.78,155.94
苗栗縣,147069,115126951,783,577,351,985,1052.35,134.43
南投縣,105837,77073549,728,531,311,891,1342.39,184.34
彰化縣,300944,237849601,790,528,314,886,6767.28,856.24
雲林縣,135234,100475526,743,558,330,927,1747.80,235.24
嘉義縣,94261,68610561,728,550,330,907,939.12,129.02
屏東縣,158170,117323403,742,566,341,925,3209.35,432.67
花蓮縣,74039,56238520,760,567,338,958,797.79,105.03
臺東縣,40568,29984676,739,565,339,938,1028.86,139.20
澎湖縣,22850,18983802,831,676,383,1081,685.22,82.48
金門縣,34731,31225899,899,709,416,1148,775.05,86.21
連江縣,3688,3631957,985,798,479,1272,783.80,79.59
合計,6081478,5781841347,951,610,358,1076,6880.22,723.68
